날짜,종목코드,종목명,업종명,시장구분,시가,고가,저가,종가,거래량,시가총액
2025-03-14,011200,HMM,운송·창고,KOSPI,20750,21150,20250,20700,1959443,18237517567200
2025-03-14,035000,HS애드,일반서비스,KOSPI,7280,7310,7210,7270,43576,120445063430
2025-03-14,002460,HS화성,건설,KOSPI,9570,9780,9500,9700,21028,98455000000
2025-03-14,487570,HS효성,기타금융,KOSPI,30500,31100,30450,30600,9052,114013366200
2025-03-14,298050,HS효성첨단소재,화학,KOSPI,182300,187000,180500,183600,9038,822518452800
2025-03-14,003560,IHQ,오락·문화,KOSPI,0,0,0,10760,0,64669472240
2025-03-14,175330,JB금융지주,기타금융,KOSPI,16490,16790,16270,16710,388804,3240202212120
2025-03-14,234080,JW생명과학,제약,KOSPI,11100,11520,11060,11330,83083,179405496820
2025-03-14,001060,JW중외제약,제약,KOSPI,21750,22200,21750,22150,51019,515783349500
2025-03-14,001067,JW중외제약2우B,제약,KOSPI,60600,60600,60600,60600,0,12724363800
2025-03-14,001065,JW중외제약우,제약,KOSPI,28200,28500,28000,28100,122,9608823100
2025-03-14,096760,JW홀딩스,기타금융,KOSPI,3020,3050,3010,3020,28259,223253324840
2025-03-14,105560,KB금융,기타금융,KOSPI,77500,80000,77100,78300,1544097,30813275520900
2025-03-14,415640,KB발해인프라,기타금융,KOSPI,7520,7520,7310,7380,42183,904386144240
2025-03-14,432320,KB스타리츠,부동산,KOSPI,3640,3700,3550,3685,56117,373711640225
2025-03-14,002380,KCC,화학,KOSPI,273500,286000,273500,284000,43807,2523757764000
2025-03-14,344820,KCC글라스,비금속,KOSPI,31450,31600,31350,31400,17346,501474076800
2025-03-14,009070,KCTC,운송·창고,KOSPI,3775,3855,3765,3780,42138,113400000000
2025-03-14,009440,KC그린홀딩스,기타금융,KOSPI,764,765,751,752,14248,17475834032
2025-03-14,119650,KC코트렐,기계·장비,KOSPI,469,477,460,467,156456,29988091643
2025-03-14,092220,KEC,전기·전자,KOSPI,771,805,771,794,405578,159405933954
2025-03-14,003620,KG모빌리티,운송장비·부품,KOSPI,3950,3975,3855,3855,403698,757138399170
2025-03-14,016380,KG스틸,금속,KOSPI,6750,6860,6700,6740,208310,674059965780
2025-03-14,001390,KG케미칼,화학,KOSPI,3840,3925,3840,3900,138355,267029256000
2025-03-14,033180,KH 필룩스,전기·전자,KOSPI,0,0,0,6630,0,128260035150
2025-03-14,015590,KIB플러그에너지,기계·장비,KOSPI,0,0,0,515,0,122045495160
2025-03-14,001940,KISCO홀딩스,금속,KOSPI,20000,20000,19710,19840,9818,281259379200
2025-03-14,025000,KPX케미칼,화학,KOSPI,43900,44200,43750,43950,3120,212718000000
2025-03-14,092230,KPX홀딩스,화학,KOSPI,55600,55600,55000,55500,1603,234467853000
