종목코드,종목명,업종,RS,RS_1M,RS_2M,RS_3M,MTT,시가총액,테마명
456010,아이씨티케이,반도체 제조업,96,97,95,97,0,165164088640,
071970,HD현대마린엔진,조선,96,43,66,92,0,975242981250,"수소차(연료전지/부품/충전소 등),풍력에너지,조선기자재"
065680,우주일렉트로,핸드셋,96,71,96,97,0,254927500000,"휴대폰부품,LCD 부품/소재"
098120,마이크로컨텍솔,반도체와반도체장비,96,93,98,98,0,85039596180,반도체 재료/부품
003570,SNT다이내믹스,자동차부품,96,94,97,97,98,1133916967700,"방위산업/전쟁 및 테러,자동차부품,공작기계"
002020,코오롱,복합기업,96,98,98,97,98,325761790800,"지주사,두나무(Dunamu)"
127120,디엔에이링크,생명과학도구및서비스,96,91,93,96,98,156321173310,"코로나19(진단/치료제/백신 개발 등),유전자 치료제/분석,코로나19(진단키트)"
082740,한화엔진,조선,96,28,29,95,98,2040282621900,"LNG(액화천연가스),조선기자재"
006340,대원전선,전기장비,96,11,3,78,0,217814503375,"철도,전선,전력설비"
112290,와이씨켐,반도체와반도체장비,96,5,88,96,0,227487262500,"반도체 재료/부품,2022 하반기 신규상장"
013360,일성건설,건설,96,51,9,3,0,166126506000,건설 중소형
010120,엘에스일렉트릭,전기장비,96,1,69,87,0,5853000000000,"태양광에너지,스마트팩토리(스마트공장),전력설비,전력저장장치(ESS),전기차,원자력발전,스마트그리드(지능형전력망),수소차(연료전지/부품/충전소 등)"
272210,한화시스템,우주항공과국방,96,85,96,96,98,6876665759600,"우주항공산업,SI(시스템통합),드론(Drone),2019 하반기 신규상장,방위산업/전쟁 및 테러,UAM(도심항공모빌리티)"
232140,와이씨,반도체와반도체장비,96,51,81,89,0,1044437305500,반도체 장비
033500,동성화인텍,화학,96,89,96,96,98,743739451200,"LNG(액화천연가스),셰일가스(Shale Gas),조선기자재"
030530,원익홀딩스,기초 화학물질 제조업,96,97,98,98,98,372673258325,
199820,제일일렉트릭,전기장비,96,6,4,76,0,212867600000,"스마트홈(홈네트워크),전력설비,2020 하반기 신규상장"
230240,에치에프알,통신장비,96,49,89,95,0,302779750000,"5G(5세대 이동통신),통신장비"
256940,케이피에스,디스플레이장비및부품,96,89,95,98,98,177549791260,"OLED(유기 발광 다이오드),폐배터리"
205500,넥써쓰,게임엔터테인먼트,96,7,10,97,0,171250496565,"게임,모바일게임(스마트폰)"
083650,비에이치아이,에너지장비및서비스,96,25,86,93,0,623529156250,"원자력발전소 해체,원자력발전,셰일가스(Shale Gas),LNG(액화천연가스)"
432720,퀄리타스반도체,반도체 제조업,96,78,98,98,0,236932976920,
226950,올릭스,생물공학,96,17,98,95,0,734875191750,"탈모 치료,mRNA(메신저 리보핵산)"
042000,카페24,IT서비스,96,52,95,94,0,1299963694400,"모바일솔루션(스마트폰),전자결제(전자화폐)"
002630,오리엔트바이오,생물공학,96,11,16,83,0,163644546900,메르스 코로나 바이러스
105550,엣지파운드리,자동차부품,96,78,98,96,98,304634791840,"자율주행차,전기차,자동차부품,5G(5세대 이동통신)"
276730,제주맥주,음료,95,2,4,3,0,31229293152,"2021 상반기 신규상장,여름,주류업(주정, 에탄올 등),음식료업종"
003350,한국화장품제조,화장품,95,91,72,37,0,228866000000,화장품
241520,DSC인베스트먼트,창업투자,95,90,98,96,97,142429927500,"창투사,일자리(취업),마켓컬리(kurly),두나무(Dunamu),4차산업 수혜주"
025950,동신건설,건설,95,8,18,3,0,345660000000,"조림사업,건설 중소형"
294140,레몬,화학,95,93,90,77,0,75390000000,"2차전지(전고체),전자파,코로나19(혈장치료/혈장치료제),갤럭시 부품주,스마트폰,휴대폰부품,마스크,2020 상반기 신규상장,2차전지"
005180,빙그레,식품,95,84,88,91,98,967391866200,"여름,음식료업종"
329180,HD현대중공업,조선,95,13,36,88,0,26587548242000,"2021 하반기 신규상장,조선"
371950,풍원정밀,디스플레이장비및부품,95,97,96,95,0,261112456080,"OLED(유기 발광 다이오드),日 수출 규제(국산화 등),마스크,2022 상반기 신규상장"
220100,퓨쳐켐,제약,95,39,94,91,0,510559780500,"고령화 사회(노인복지),치매"
306200,세아제강,철강,95,98,97,96,97,582859650000,"남-북-러 가스관사업,풍력에너지,철강 주요종목,강관업체(Steel pipe)"
101930,인화정공,조선,95,16,44,74,0,317319189000,"조선기자재,자동차부품"
039610,화성밸브,기계,95,97,95,95,0,121385264000,"피팅(관이음쇠)/밸브,남-북-러 가스관사업"
219550,디와이디,화장품,95,83,92,95,0,90875631392,"건설 중소형,화장품,우크라이나 재건"
007660,이수페타시스,전자장비와기기,95,62,96,97,0,2517207476200,"AI 챗봇(챗GPT 등),갤럭시 부품주,스마트폰,우주항공산업,PCB(FPCB 등),5G(5세대 이동통신)"
005690,파미셀,화학,95,79,94,95,98,685993898520,"mRNA(메신저 리보핵산),줄기세포,엠폭스(원숭이두창),코로나19(진단키트),코로나19(렘데시비르),화장품,화이자(PFIZER),코로나19(진단/치료제/백신 개발 등),모더나(MODERNA)"
214420,토니모리,화장품,95,98,95,93,0,218898670900,"면세점,화장품"
