code,name,market
000020,동화약품,코스피
000040,KR모터스,코스피
000050,경방,코스피
000070,삼양홀딩스,코스피
000080,하이트진로,코스피
000100,유한양행,코스피
000120,CJ대한통운,코스피
000140,하이트진로홀딩스,코스피
000150,두산,코스피
000180,성창기업지주,코스피
000210,DL,코스피
000220,유유제약,코스피
000230,일동홀딩스,코스피
000240,한국앤컴퍼니,코스피
000270,기아,코스피
000300,DH오토넥스,코스피
000320,노루홀딩스,코스피
000370,한화손해보험,코스피
000390,삼화페인트,코스피
000400,롯데손해보험,코스피
000430,대원강업,코스피
000480,CR홀딩스,코스피
000490,대동,코스피
000500,가온전선,코스피
000520,삼일제약,코스피
000540,흥국화재,코스피
000590,CS홀딩스,코스피
000640,동아쏘시오홀딩스,코스피
000650,천일고속,코스피
000660,SK하이닉스,코스피
000670,영풍,코스피
000680,LS네트웍스,코스피
000700,유수홀딩스,코스피
000720,현대건설,코스피
000760,이화산업,코스피
000810,삼성화재,코스피
000850,화천기공,코스피
000860,강남제비스코,코스피
000880,한화,코스피
000890,보해양조,코스피
000910,유니온,코스피
000950,전방,코스피
000970,한국주철관,코스피
000990,DB하이텍,코스피
001020,페이퍼코리아,코스피
001040,CJ,코스피
001060,JW중외제약,코스피
001070,대한방직,코스피
001080,만호제강,코스피
001120,LX인터내셔널,코스피
001130,대한제분,코스피
001140,국보,코스피
001200,유진투자증권,코스피
001210,금호전기,코스피
001230,동국홀딩스,코스피
001250,GS글로벌,코스피
001260,남광토건,코스피
001270,부국증권,코스피
001290,상상인증권,코스피
001340,PKC,코스피
001360,삼성제약,코스피
001380,SG글로벌,코스피
001390,KG케미칼,코스피
001420,태원물산,코스피
001430,세아베스틸지주,코스피
001440,대한전선,코스피
001450,현대해상,코스피
001460,BYC,코스피
001470,삼부토건,코스피
001500,현대차증권,코스피
001510,SK증권,코스피
001520,동양,코스피
001530,DI동일,코스피
001550,조비,코스피
001560,제일연마,코스피
001570,금양,코스피
001620,케이비아이동국실업,코스피
001630,종근당홀딩스,코스피
001680,대상,코스피
001720,신영증권,코스피
001740,SK네트웍스,코스피
001750,한양증권,코스피
001770,SHD,코스피
001780,알루코,코스피
001790,대한제당,코스피
001800,오리온홀딩스,코스피
001820,삼화콘덴서,코스피
001940,KISCO홀딩스,코스피
002020,코오롱,코스피
002030,아세아,코스피
002070,비비안,코스피
002100,경농,코스피
002140,고려산업,코스피
002150,도화엔지니어링,코스피
002170,삼양통상,코스피
002200,한국수출포장,코스피
002210,동성제약,코스피
002220,한일철강,코스피
002240,고려제강,코스피
002310,아세아제지,코스피
002320,한진,코스피
002350,넥센타이어,코스피
002360,SH에너지화학,코스피
002380,KCC,코스피
002390,한독,코스피
002410,범양건영,코스피
002420,세기상사,코스피
002450,삼익악기,코스피
002460,HS화성,코스피
002600,조흥,코스피
002620,제일파마홀딩스,코스피
002630,오리엔트바이오,코스피
002690,동일제강,코스피
002700,신일전자,코스피
002710,TCC스틸,코스피
