날짜,시가,고가,저가,종가,거래량,티커,종목명
2024-12-13,11275,11620,11205,11510,337078,463050,TIMEFOLIO K바이오액티브
2024-12-16,11650,11670,11450,11525,319805,463050,TIMEFOLIO K바이오액티브
2024-12-17,11480,11545,11310,11395,87104,463050,TIMEFOLIO K바이오액티브
2024-12-18,11450,11450,11180,11365,228688,463050,TIMEFOLIO K바이오액티브
2024-12-19,11095,11135,10920,11010,274823,463050,TIMEFOLIO K바이오액티브
2024-12-20,10980,10980,10680,10715,150539,463050,TIMEFOLIO K바이오액티브
2024-12-23,10800,11050,10800,11040,159576,463050,TIMEFOLIO K바이오액티브
2024-12-24,11085,11250,10940,11200,129392,463050,TIMEFOLIO K바이오액티브
2024-12-26,11250,11335,11115,11205,145119,463050,TIMEFOLIO K바이오액티브
2024-12-27,11225,11285,10920,11070,89472,463050,TIMEFOLIO K바이오액티브
2024-12-30,11005,11575,11005,11495,213639,463050,TIMEFOLIO K바이오액티브
2025-01-02,11510,11510,11215,11300,90087,463050,TIMEFOLIO K바이오액티브
2025-01-03,11395,11675,11255,11670,1054047,463050,TIMEFOLIO K바이오액티브
2025-01-06,11615,11760,11475,11700,180739,463050,TIMEFOLIO K바이오액티브
2025-01-07,11700,11970,11610,11960,283872,463050,TIMEFOLIO K바이오액티브
2025-01-08,11960,12035,11720,11775,831565,463050,TIMEFOLIO K바이오액티브
2025-01-09,11775,11975,11600,11850,108360,463050,TIMEFOLIO K바이오액티브
2025-01-10,11965,11965,11680,11765,196768,463050,TIMEFOLIO K바이오액티브
2025-01-13,11750,11850,11525,11600,748914,463050,TIMEFOLIO K바이오액티브
2025-01-14,11730,11795,11575,11630,121002,463050,TIMEFOLIO K바이오액티브
2025-01-15,11640,11700,11310,11365,224223,463050,TIMEFOLIO K바이오액티브
2025-01-16,11710,11825,11515,11755,286965,463050,TIMEFOLIO K바이오액티브
2025-01-17,11700,11730,11500,11600,173695,463050,TIMEFOLIO K바이오액티브
2025-01-20,11565,11610,11385,11580,563154,463050,TIMEFOLIO K바이오액티브
2025-01-21,11575,11710,11505,11555,201186,463050,TIMEFOLIO K바이오액티브
2025-01-22,11745,11800,11570,11595,133243,463050,TIMEFOLIO K바이오액티브
2025-01-23,11725,11820,11585,11700,163175,463050,TIMEFOLIO K바이오액티브
2025-01-24,11820,11930,11690,11900,200234,463050,TIMEFOLIO K바이오액티브
2025-01-31,12050,12090,11845,12040,247905,463050,TIMEFOLIO K바이오액티브
2025-02-03,12000,12000,11600,11635,140161,463050,TIMEFOLIO K바이오액티브
2025-02-04,11935,12115,11790,11910,195251,463050,TIMEFOLIO K바이오액티브
2025-02-05,12100,12225,11960,12095,353431,463050,TIMEFOLIO K바이오액티브
2025-02-06,12240,12510,12240,12445,435167,463050,TIMEFOLIO K바이오액티브
2025-02-07,12450,12595,12420,12525,239640,463050,TIMEFOLIO K바이오액티브
2025-02-10,12640,12730,12355,12625,381764,463050,TIMEFOLIO K바이오액티브
2025-02-11,12695,12835,12505,12550,147962,463050,TIMEFOLIO K바이오액티브
2025-02-12,12520,12535,12260,12505,1054551,463050,TIMEFOLIO K바이오액티브
2025-02-13,12510,12510,12210,12510,207212,463050,TIMEFOLIO K바이오액티브
2025-02-14,12510,12600,12405,12600,184314,463050,TIMEFOLIO K바이오액티브
2025-02-17,12675,12760,12480,12760,131103,463050,TIMEFOLIO K바이오액티브
2025-02-18,12760,12895,12575,12895,252421,463050,TIMEFOLIO K바이오액티브
2025-02-19,12840,12840,12545,12595,310125,463050,TIMEFOLIO K바이오액티브
2025-02-20,12535,12570,12265,12275,199007,463050,TIMEFOLIO K바이오액티브
2025-02-21,12340,12485,12285,12470,139509,463050,TIMEFOLIO K바이오액티브
2025-02-24,12370,12410,12205,12345,157042,463050,TIMEFOLIO K바이오액티브
2025-02-25,12295,12570,12210,12525,132086,463050,TIMEFOLIO K바이오액티브
2025-02-26,12655,12815,12450,12780,267087,463050,TIMEFOLIO K바이오액티브
2025-02-27,12790,12790,12605,12680,243873,463050,TIMEFOLIO K바이오액티브
2025-02-28,12500,12590,12385,12495,150955,463050,TIMEFOLIO K바이오액티브
2025-03-04,12430,12760,12385,12700,222138,463050,TIMEFOLIO K바이오액티브
2025-03-05,12780,12980,12700,12850,254957,463050,TIMEFOLIO K바이오액티브
2025-03-06,12850,12850,12615,12675,2806263,463050,TIMEFOLIO K바이오액티브
2025-03-07,12555,12730,12225,12240,222856,463050,TIMEFOLIO K바이오액티브
2025-03-10,12125,12400,12005,12230,201186,463050,TIMEFOLIO K바이오액티브
2025-03-11,11920,12190,11920,12170,336634,463050,TIMEFOLIO K바이오액티브
2025-03-12,12180,12350,12125,12140,113148,463050,TIMEFOLIO K바이오액티브
2025-03-13,12170,12325,12075,12075,123976,463050,TIMEFOLIO K바이오액티브
2025-03-14,12070,12515,12070,12400,93290,463050,TIMEFOLIO K바이오액티브
2025-03-17,12440,12640,12215,12620,274242,463050,TIMEFOLIO K바이오액티브
2025-03-18,12690,12775,12535,12710,218331,463050,TIMEFOLIO K바이오액티브
2025-03-19,12750,12840,12710,12775,12926,463050,TIMEFOLIO K바이오액티브
