날짜,시가,고가,저가,종가,거래량,티커,종목명
2024-12-17,8535,8570,8220,8220,165646,475050,ACE KPOP포커스
2024-12-18,8245,8430,8180,8410,103574,475050,ACE KPOP포커스
2024-12-19,8175,8535,8160,8420,167385,475050,ACE KPOP포커스
2024-12-20,8385,8440,8165,8205,151724,475050,ACE KPOP포커스
2024-12-23,8275,8345,8120,8290,114695,475050,ACE KPOP포커스
2024-12-24,8340,8350,8025,8070,153261,475050,ACE KPOP포커스
2024-12-26,8070,8350,8070,8180,246106,475050,ACE KPOP포커스
2024-12-27,8200,8200,7965,8060,174761,475050,ACE KPOP포커스
2024-12-30,7905,8220,7905,8175,116151,475050,ACE KPOP포커스
2025-01-02,8150,8285,7850,7975,621535,475050,ACE KPOP포커스
2025-01-03,8010,8180,8005,8120,129032,475050,ACE KPOP포커스
2025-01-06,8115,8120,7950,8050,214295,475050,ACE KPOP포커스
2025-01-07,8065,8355,8065,8255,258742,475050,ACE KPOP포커스
2025-01-08,8265,8270,8130,8145,107727,475050,ACE KPOP포커스
2025-01-09,8175,8180,8005,8020,124162,475050,ACE KPOP포커스
2025-01-10,8020,8300,7960,8300,165386,475050,ACE KPOP포커스
2025-01-13,8300,8450,8275,8375,206672,475050,ACE KPOP포커스
2025-01-14,8345,8780,8345,8770,449718,475050,ACE KPOP포커스
2025-01-15,8770,8820,8680,8800,339089,475050,ACE KPOP포커스
2025-01-16,8885,8895,8685,8805,229102,475050,ACE KPOP포커스
2025-01-17,8760,9000,8745,8850,340949,475050,ACE KPOP포커스
2025-01-20,8870,8960,8720,8760,157107,475050,ACE KPOP포커스
2025-01-21,8845,8875,8700,8715,164213,475050,ACE KPOP포커스
2025-01-22,8705,8810,8565,8785,361487,475050,ACE KPOP포커스
2025-01-23,8800,8975,8770,8770,345800,475050,ACE KPOP포커스
2025-01-24,8815,9085,8775,8975,785803,475050,ACE KPOP포커스
2025-01-31,9080,9135,8965,9000,1206165,475050,ACE KPOP포커스
2025-02-03,8900,9110,8895,9055,420018,475050,ACE KPOP포커스
2025-02-04,9150,9390,8995,9365,358491,475050,ACE KPOP포커스
2025-02-05,9445,9525,9300,9440,442302,475050,ACE KPOP포커스
2025-02-06,9500,9615,9350,9415,664269,475050,ACE KPOP포커스
2025-02-07,9475,9525,9365,9395,332832,475050,ACE KPOP포커스
2025-02-10,9720,9940,9575,9575,705340,475050,ACE KPOP포커스
2025-02-11,9730,9945,9680,9930,844237,475050,ACE KPOP포커스
2025-02-12,9980,9985,9770,9955,647474,475050,ACE KPOP포커스
2025-02-13,9970,10020,9745,9840,502723,475050,ACE KPOP포커스
2025-02-14,9835,10000,9680,9730,433895,475050,ACE KPOP포커스
2025-02-17,9730,9730,9400,9485,1069265,475050,ACE KPOP포커스
2025-02-18,9485,9690,9425,9610,436372,475050,ACE KPOP포커스
2025-02-19,9630,9885,9505,9885,594556,475050,ACE KPOP포커스
2025-02-20,10495,10695,10210,10365,1835507,475050,ACE KPOP포커스
2025-02-21,10405,10405,9985,10200,720135,475050,ACE KPOP포커스
2025-02-24,10050,10225,9985,10195,532290,475050,ACE KPOP포커스
2025-02-25,10200,10565,10135,10420,804034,475050,ACE KPOP포커스
2025-02-26,10370,10585,10300,10375,1099019,475050,ACE KPOP포커스
2025-02-27,10350,10710,10295,10650,782363,475050,ACE KPOP포커스
2025-02-28,10570,10890,10455,10570,1066607,475050,ACE KPOP포커스
2025-03-04,10565,10635,10200,10600,626711,475050,ACE KPOP포커스
2025-03-05,10580,10600,10225,10385,752344,475050,ACE KPOP포커스
2025-03-06,10440,10440,10090,10265,605521,475050,ACE KPOP포커스
2025-03-07,10235,10465,10215,10330,451392,475050,ACE KPOP포커스
2025-03-10,10275,10275,9610,9880,1266353,475050,ACE KPOP포커스
2025-03-11,9555,9980,9550,9795,737268,475050,ACE KPOP포커스
2025-03-12,9795,9910,9665,9725,570750,475050,ACE KPOP포커스
2025-03-13,9715,9755,9580,9635,501425,475050,ACE KPOP포커스
2025-03-14,9600,9660,9510,9590,440152,475050,ACE KPOP포커스
2025-03-17,9590,9840,9460,9750,624249,475050,ACE KPOP포커스
2025-03-18,9750,9800,9400,9410,943984,475050,ACE KPOP포커스
2025-03-19,9400,9715,9400,9655,564521,475050,ACE KPOP포커스
2025-03-20,9655,9690,9265,9350,772310,475050,ACE KPOP포커스
2025-03-21,9305,9590,9285,9530,820378,475050,ACE KPOP포커스
