날짜,시가,고가,저가,종가,거래량,티커,종목명
2024-03-20,3400,3420,3371,3376,543083,228800,TIGER 여행레저
2024-03-27,3449,3493,3429,3474,786526,228800,TIGER 여행레저
2024-04-03,3469,3596,3469,3493,1699580,228800,TIGER 여행레저
2024-04-10,3469,3483,3425,3474,315348,228800,TIGER 여행레저
2024-04-17,3376,3376,3258,3297,527589,228800,TIGER 여행레저
2024-04-24,3395,3425,3371,3376,399796,228800,TIGER 여행레저
2024-05-01,3470,3520,3445,3505,291393,228800,TIGER 여행레저
2024-05-08,3550,3560,3480,3500,559335,228800,TIGER 여행레저
2024-05-15,3535,3535,3480,3490,468160,228800,TIGER 여행레저
2024-05-22,3425,3455,3380,3390,564264,228800,TIGER 여행레저
2024-05-29,3395,3425,3320,3325,737809,228800,TIGER 여행레저
2024-06-05,3430,3430,3380,3390,705423,228800,TIGER 여행레저
2024-06-12,3405,3420,3375,3390,405006,228800,TIGER 여행레저
2024-06-19,3405,3405,3295,3320,808791,228800,TIGER 여행레저
2024-06-26,3340,3340,3300,3305,516501,228800,TIGER 여행레저
2024-07-03,3290,3350,3220,3235,968774,228800,TIGER 여행레저
2024-07-10,3200,3255,3185,3235,563490,228800,TIGER 여행레저
2024-07-17,3250,3270,3215,3225,499123,228800,TIGER 여행레저
2024-07-24,3195,3200,3125,3140,575250,228800,TIGER 여행레저
2024-07-31,3120,3120,3065,3085,550965,228800,TIGER 여행레저
2024-08-07,3030,3030,2750,2905,1229821,228800,TIGER 여행레저
2024-08-14,2910,2935,2880,2920,403888,228800,TIGER 여행레저
2024-08-21,2930,3005,2895,3000,374452,228800,TIGER 여행레저
2024-08-28,3015,3085,3015,3050,183026,228800,TIGER 여행레저
2024-09-04,3095,3125,3030,3055,544044,228800,TIGER 여행레저
2024-09-11,3035,3100,3005,3040,329993,228800,TIGER 여행레저
2024-09-25,3095,3120,3035,3065,554392,228800,TIGER 여행레저
2024-10-02,3195,3195,3095,3110,307086,228800,TIGER 여행레저
2024-10-09,3085,3095,3040,3060,223127,228800,TIGER 여행레저
2024-10-16,3065,3080,3015,3030,257675,228800,TIGER 여행레저
2024-10-23,3010,3065,2990,3005,314793,228800,TIGER 여행레저
2024-10-30,2995,3090,2995,3085,208765,228800,TIGER 여행레저
2024-11-06,3160,3215,3070,3100,1196443,228800,TIGER 여행레저
2024-11-13,3070,3070,2885,2885,445548,228800,TIGER 여행레저
2024-11-20,2945,3050,2940,3030,1905203,228800,TIGER 여행레저
2024-11-27,3055,3205,3055,3190,852049,228800,TIGER 여행레저
2024-12-04,3210,3210,3040,3070,581624,228800,TIGER 여행레저
2024-12-11,2930,3030,2860,3030,716846,228800,TIGER 여행레저
2024-12-18,3065,3090,3000,3030,295529,228800,TIGER 여행레저
2024-12-25,2950,2965,2925,2960,246523,228800,TIGER 여행레저
2025-01-01,2810,2895,2810,2880,263360,228800,TIGER 여행레저
2025-01-08,2960,3005,2945,2985,335409,228800,TIGER 여행레저
2025-01-15,3000,3015,2950,3010,444423,228800,TIGER 여행레저
2025-01-22,3050,3120,3035,3100,442570,228800,TIGER 여행레저
2025-02-05,3100,3100,2985,3065,358245,228800,TIGER 여행레저
2025-02-12,3060,3090,3050,3050,210437,228800,TIGER 여행레저
2025-02-19,3060,3095,3025,3070,508791,228800,TIGER 여행레저
2025-02-26,3110,3115,3085,3105,439627,228800,TIGER 여행레저
2025-03-05,3055,3060,2995,3015,346903,228800,TIGER 여행레저
2025-03-14,3080,3085,2960,2990,1270032,228800,TIGER 여행레저
