날짜,시가,고가,저가,종가,거래량,티커,종목명
2023-09-11,32788,32885,32671,32866,4173679,069500,KODEX 200
2023-09-12,32977,33007,32676,32696,4650274,069500,KODEX 200
2023-09-13,32696,32875,32618,32720,4489610,069500,KODEX 200
2023-09-14,32812,33181,32798,33181,3539713,069500,KODEX 200
2023-09-15,33220,33740,33201,33614,10140950,069500,KODEX 200
2023-09-18,33351,33512,33206,33211,4430765,069500,KODEX 200
2023-09-19,33279,33279,32909,32958,5277235,069500,KODEX 200
2023-09-20,32939,33060,32866,32953,4933163,069500,KODEX 200
2023-09-21,32759,32822,32370,32375,8451806,069500,KODEX 200
2023-09-22,32069,32346,31996,32258,7803331,069500,KODEX 200
2023-09-25,32166,32351,32117,32288,5527636,069500,KODEX 200
2023-09-26,32288,32297,31831,31865,8274671,069500,KODEX 200
2023-09-27,31695,31943,31671,31943,11126320,069500,KODEX 200
2023-10-04,31559,31559,31083,31097,12823220,069500,KODEX 200
2023-10-05,31321,31345,31092,31107,8742454,069500,KODEX 200
2023-10-06,31151,31311,31097,31165,5530666,069500,KODEX 200
2023-10-10,31486,31739,31219,31238,5059978,069500,KODEX 200
2023-10-11,31671,31991,31666,31763,6209888,069500,KODEX 200
2023-10-12,31933,32137,31933,32122,6337428,069500,KODEX 200
2023-10-13,31826,31947,31758,31841,3346991,069500,KODEX 200
2023-10-16,31685,31826,31403,31598,4402616,069500,KODEX 200
2023-10-17,31821,32059,31753,31986,4094158,069500,KODEX 200
2023-10-18,31904,32151,31894,32122,5119785,069500,KODEX 200
2023-10-19,31709,31748,31491,31510,5179844,069500,KODEX 200
2023-10-20,31262,31287,30913,31034,5747441,069500,KODEX 200
2023-10-23,31000,31078,30815,30869,3815317,069500,KODEX 200
2023-10-24,31015,31126,30485,31107,5387775,069500,KODEX 200
2023-10-25,31194,31209,30927,30937,3758074,069500,KODEX 200
2023-10-26,30466,30529,30116,30145,4681591,069500,KODEX 200
2023-10-27,30281,30344,30062,30174,4329063,069500,KODEX 200
2023-10-30,30033,30335,30023,30257,3535956,069500,KODEX 200
2023-10-31,30418,30481,29852,29887,5657280,069500,KODEX 200
2023-11-01,30077,30364,30062,30301,4694504,069500,KODEX 200
2023-11-02,30803,30949,30725,30803,6131947,069500,KODEX 200
2023-11-03,31095,31178,30964,31115,4490811,069500,KODEX 200
2023-11-06,31627,32572,31519,32572,10194150,069500,KODEX 200
2023-11-07,32319,32377,31670,31982,8868833,069500,KODEX 200
2023-11-08,32216,32275,31602,31685,4718349,069500,KODEX 200
2023-11-09,31685,31953,31627,31836,4401718,069500,KODEX 200
2023-11-10,31519,31675,31402,31656,5273275,069500,KODEX 200
2023-11-13,31968,31987,31529,31631,6351729,069500,KODEX 200
2023-11-14,31900,32051,31870,31958,4710485,069500,KODEX 200
2023-11-15,32626,32675,32382,32650,9679173,069500,KODEX 200
2023-11-16,32626,32728,32475,32626,5466819,069500,KODEX 200
