날짜,시가,고가,저가,종가,거래량,티커,종목명
2024-03-20,13895,14634,13895,14309,2323668,364980,TIGER 2차전지TOP10
2024-03-27,14874,15263,14839,14958,2979018,364980,TIGER 2차전지TOP10
2024-04-03,14419,14439,13291,13296,4203751,364980,TIGER 2차전지TOP10
2024-04-10,12911,13316,12562,12981,2694181,364980,TIGER 2차전지TOP10
2024-04-17,12542,12712,12157,12167,4592080,364980,TIGER 2차전지TOP10
2024-04-24,12657,13311,12622,13206,3850186,364980,TIGER 2차전지TOP10
2024-05-01,12850,13355,12800,13265,2000903,364980,TIGER 2차전지TOP10
2024-05-08,13195,13305,12925,13055,1701674,364980,TIGER 2차전지TOP10
2024-05-15,12845,12915,12580,12820,1257942,364980,TIGER 2차전지TOP10
2024-05-22,12710,12750,12170,12190,2136375,364980,TIGER 2차전지TOP10
2024-05-29,11925,12390,11445,11445,4338276,364980,TIGER 2차전지TOP10
2024-06-05,11265,12140,11210,11970,4650865,364980,TIGER 2차전지TOP10
2024-06-12,12335,12460,12000,12065,5745382,364980,TIGER 2차전지TOP10
2024-06-19,11685,11750,11290,11640,10782286,364980,TIGER 2차전지TOP10
2024-06-26,11370,11375,11030,11055,4301720,364980,TIGER 2차전지TOP10
2024-07-03,10970,11710,10905,11550,12088702,364980,TIGER 2차전지TOP10
2024-07-10,11650,11990,11460,11550,9009687,364980,TIGER 2차전지TOP10
2024-07-17,11850,11880,10950,10965,11083306,364980,TIGER 2차전지TOP10
2024-07-24,11235,11235,10380,10465,8244261,364980,TIGER 2차전지TOP10
2024-07-31,10445,10880,10260,10340,6641301,364980,TIGER 2차전지TOP10
2024-08-07,10520,10655,9475,10100,10218722,364980,TIGER 2차전지TOP10
2024-08-14,10105,10585,10055,10510,3890672,364980,TIGER 2차전지TOP10
2024-08-21,10320,10630,9950,10480,7330366,364980,TIGER 2차전지TOP10
2024-08-28,10725,10910,10585,10620,5454678,364980,TIGER 2차전지TOP10
2024-09-04,11160,11815,11115,11200,9716688,364980,TIGER 2차전지TOP10
2024-09-11,10535,11030,10315,10895,8868287,364980,TIGER 2차전지TOP10
2024-09-25,11295,11915,11145,11725,5495473,364980,TIGER 2차전지TOP10
2024-10-02,12045,12250,11675,11725,5139804,364980,TIGER 2차전지TOP10
2024-10-09,11605,12050,11530,11970,5363679,364980,TIGER 2차전지TOP10
2024-10-16,11430,11530,11000,11000,8124114,364980,TIGER 2차전지TOP10
2024-10-23,10740,10935,10390,10810,5838184,364980,TIGER 2차전지TOP10
2024-10-30,10635,11235,10635,11030,4706393,364980,TIGER 2차전지TOP10
2024-11-06,10970,11215,10195,10240,7401403,364980,TIGER 2차전지TOP10
2024-11-13,10335,10380,9555,9560,5850661,364980,TIGER 2차전지TOP10
2024-11-20,8925,9570,8900,9440,7173476,364980,TIGER 2차전지TOP10
2024-11-27,9790,10125,9620,9640,4321937,364980,TIGER 2차전지TOP10
2024-12-04,9350,9510,9025,9165,12706251,364980,TIGER 2차전지TOP10
2024-12-11,8860,9150,8695,8975,10874787,364980,TIGER 2차전지TOP10
2024-12-18,9250,9375,8760,8975,23515437,364980,TIGER 2차전지TOP10
2024-12-25,8610,8795,8370,8555,9081645,364980,TIGER 2차전지TOP10
2025-01-01,8340,8545,8335,8385,1508168,364980,TIGER 2차전지TOP10
2025-01-08,8575,8875,8500,8850,49404485,364980,TIGER 2차전지TOP10
2025-01-15,8460,8760,8385,8520,4985875,364980,TIGER 2차전지TOP10
2025-01-22,8595,8980,8435,8725,6779345,364980,TIGER 2차전지TOP10
2025-02-05,8235,8260,7810,8075,7699450,364980,TIGER 2차전지TOP10
2025-02-12,7830,8110,7665,7880,19103036,364980,TIGER 2차전지TOP10
2025-02-19,8205,8705,8205,8655,7302509,364980,TIGER 2차전지TOP10
2025-02-26,8895,9240,8800,9030,9543546,364980,TIGER 2차전지TOP10
2025-03-05,8480,8500,8085,8235,11981400,364980,TIGER 2차전지TOP10
2025-03-14,8740,8900,8235,8285,23552938,364980,TIGER 2차전지TOP10
