날짜,시가,고가,저가,종가,거래량,티커,종목명
2024-07-10,10065,11145,10040,11100,4013975,487240,KODEX AI전력핵심설비
2024-07-17,10925,11300,10430,10435,6731094,487240,KODEX AI전력핵심설비
2024-07-24,10065,11255,9550,10895,5260991,487240,KODEX AI전력핵심설비
2024-07-31,9635,9940,8980,9165,3345204,487240,KODEX AI전력핵심설비
2024-08-07,8010,8730,7230,8595,2663461,487240,KODEX AI전력핵심설비
2024-08-14,8705,8880,8375,8575,2608317,487240,KODEX AI전력핵심설비
2024-08-21,8960,9185,8730,9055,2055408,487240,KODEX AI전력핵심설비
2024-08-28,9010,9150,8380,8600,1015388,487240,KODEX AI전력핵심설비
2024-09-04,8480,8480,7615,7655,3083713,487240,KODEX AI전력핵심설비
2024-09-11,6855,7840,6710,7675,4621704,487240,KODEX AI전력핵심설비
2024-09-25,8575,9170,8550,8830,4171069,487240,KODEX AI전력핵심설비
2024-10-02,9020,9115,8775,8900,809887,487240,KODEX AI전력핵심설비
2024-10-09,9145,9470,8955,9050,1856774,487240,KODEX AI전력핵심설비
2024-10-16,8955,9430,8850,8970,5139074,487240,KODEX AI전력핵심설비
2024-10-23,9150,9250,8850,9070,2517110,487240,KODEX AI전력핵심설비
2024-10-30,9005,9235,8910,9010,2966943,487240,KODEX AI전력핵심설비
2024-11-06,8740,9685,8665,9290,2009033,487240,KODEX AI전력핵심설비
2024-11-13,9770,10295,8940,8945,3745354,487240,KODEX AI전력핵심설비
2024-11-20,8895,9180,8610,8800,2921218,487240,KODEX AI전력핵심설비
2024-11-27,8680,8990,8605,8795,3025112,487240,KODEX AI전력핵심설비
2024-12-04,8590,8900,8335,8850,4623994,487240,KODEX AI전력핵심설비
2024-12-11,8415,9070,8395,9015,2032773,487240,KODEX AI전력핵심설비
2024-12-18,9245,9595,9235,9295,12954670,487240,KODEX AI전력핵심설비
2024-12-25,9145,9445,9015,9300,1975833,487240,KODEX AI전력핵심설비
2025-01-01,9110,9305,9030,9240,740645,487240,KODEX AI전력핵심설비
2025-01-08,9835,9970,9605,9715,3467524,487240,KODEX AI전력핵심설비
2025-01-15,10050,10475,9930,10475,2208047,487240,KODEX AI전력핵심설비
2025-01-22,11560,11590,10810,11345,6372792,487240,KODEX AI전력핵심설비
2025-02-05,10865,11300,10745,10915,4181053,487240,KODEX AI전력핵심설비
2025-02-12,10785,11355,10570,11350,5331380,487240,KODEX AI전력핵심설비
2025-02-19,11130,12495,10835,11890,8817192,487240,KODEX AI전력핵심설비
2025-02-26,11175,11215,10680,11055,6089331,487240,KODEX AI전력핵심설비
2025-03-05,10270,10892,10080,10840,2514875,487240,KODEX AI전력핵심설비
2025-03-14,9860,10500,9380,10450,7753457,487240,KODEX AI전력핵심설비
