날짜,시가,고가,저가,종가,거래량,티커,종목명
2024-10-31,2820,2820,2735,2735,220464,139220,TIGER 200 건설
2024-11-01,2750,2760,2720,2750,190924,139220,TIGER 200 건설
2024-11-04,2750,2765,2720,2765,85719,139220,TIGER 200 건설
2024-11-06,2835,2850,2785,2845,155158,139220,TIGER 200 건설
2024-11-07,2855,2855,2785,2835,189296,139220,TIGER 200 건설
2024-11-08,2835,2860,2815,2835,183885,139220,TIGER 200 건설
2024-11-11,2850,2850,2770,2780,153217,139220,TIGER 200 건설
2024-11-12,2785,2785,2725,2735,247236,139220,TIGER 200 건설
2024-11-13,2750,2750,2670,2685,371383,139220,TIGER 200 건설
2024-11-14,2795,2795,2670,2705,321514,139220,TIGER 200 건설
2024-11-15,2705,2730,2680,2720,98688,139220,TIGER 200 건설
2024-11-18,2715,2805,2710,2800,72412,139220,TIGER 200 건설
2024-11-19,2795,2795,2765,2780,75775,139220,TIGER 200 건설
2024-11-20,2790,2790,2760,2775,74322,139220,TIGER 200 건설
2024-11-21,2790,2805,2760,2800,209572,139220,TIGER 200 건설
2024-11-22,2815,2840,2775,2825,165548,139220,TIGER 200 건설
2024-11-25,2855,2875,2835,2840,152536,139220,TIGER 200 건설
2024-11-26,2855,2870,2825,2870,191875,139220,TIGER 200 건설
2024-11-27,2880,2890,2845,2855,145099,139220,TIGER 200 건설
2024-11-28,2885,2885,2835,2860,230834,139220,TIGER 200 건설
2024-11-29,2860,2860,2770,2810,86046,139220,TIGER 200 건설
2024-12-02,2810,2835,2790,2805,79533,139220,TIGER 200 건설
2024-12-03,2830,2870,2825,2855,184404,139220,TIGER 200 건설
2024-12-04,2790,2805,2705,2725,229277,139220,TIGER 200 건설
2024-12-05,2725,2730,2665,2665,149935,139220,TIGER 200 건설
2024-12-06,2680,2695,2580,2630,139807,139220,TIGER 200 건설
2024-12-09,2570,2575,2475,2480,242248,139220,TIGER 200 건설
2024-12-10,2480,2575,2480,2565,212521,139220,TIGER 200 건설
2024-12-11,2540,2595,2540,2595,128389,139220,TIGER 200 건설
2024-12-12,2635,2640,2580,2605,67064,139220,TIGER 200 건설
2024-12-13,2605,2650,2605,2630,46431,139220,TIGER 200 건설
2024-12-16,2635,2660,2615,2615,81823,139220,TIGER 200 건설
2024-12-17,2655,2655,2610,2615,58002,139220,TIGER 200 건설
2024-12-18,2625,2650,2605,2640,81515,139220,TIGER 200 건설
2024-12-19,2615,2615,2580,2605,115088,139220,TIGER 200 건설
2024-12-20,2605,2610,2580,2600,61298,139220,TIGER 200 건설
2024-12-23,2635,2640,2595,2630,52630,139220,TIGER 200 건설
2024-12-24,2655,2655,2620,2630,93972,139220,TIGER 200 건설
2024-12-26,2630,2635,2580,2595,159621,139220,TIGER 200 건설
2024-12-27,2625,2625,2555,2585,66820,139220,TIGER 200 건설
2024-12-30,2595,2620,2570,2575,28546,139220,TIGER 200 건설
2025-01-02,2575,2595,2555,2565,45845,139220,TIGER 200 건설
2025-01-03,2580,2615,2565,2605,56807,139220,TIGER 200 건설
2025-01-06,2640,2645,2590,2645,55881,139220,TIGER 200 건설
2025-01-07,2655,2695,2645,2670,57433,139220,TIGER 200 건설
2025-01-08,2670,2690,2660,2675,40881,139220,TIGER 200 건설
2025-01-09,2685,2685,2635,2660,25340,139220,TIGER 200 건설
2025-01-10,2700,2715,2660,2705,115913,139220,TIGER 200 건설
2025-01-13,2705,2715,2650,2670,66496,139220,TIGER 200 건설
2025-01-14,2650,2680,2645,2665,18571,139220,TIGER 200 건설
2025-01-15,2695,2695,2645,2645,41423,139220,TIGER 200 건설
2025-01-16,2690,2690,2660,2690,42238,139220,TIGER 200 건설
2025-01-17,2700,2730,2695,2705,147377,139220,TIGER 200 건설
2025-01-20,2750,2750,2695,2700,30647,139220,TIGER 200 건설
2025-01-21,2730,2730,2695,2725,46170,139220,TIGER 200 건설
2025-01-22,2745,2805,2715,2805,197363,139220,TIGER 200 건설
2025-01-23,2810,2850,2750,2755,208203,139220,TIGER 200 건설
2025-01-24,2760,2835,2760,2835,81899,139220,TIGER 200 건설
2025-01-31,2850,2850,2805,2825,174559,139220,TIGER 200 건설
2025-02-03,2790,2815,2740,2805,283536,139220,TIGER 200 건설
2025-02-04,2820,2855,2805,2820,197618,139220,TIGER 200 건설
2025-02-05,2830,2835,2785,2795,209674,139220,TIGER 200 건설
2025-02-06,2810,2875,2805,2870,274835,139220,TIGER 200 건설
2025-02-07,2855,2910,2855,2895,834945,139220,TIGER 200 건설
2025-02-10,2870,2905,2870,2885,138082,139220,TIGER 200 건설
2025-02-11,2890,2950,2890,2950,441621,139220,TIGER 200 건설
2025-02-12,2950,2960,2910,2940,381971,139220,TIGER 200 건설
2025-02-13,2980,3030,2955,3005,596077,139220,TIGER 200 건설
2025-02-14,3035,3085,3030,3070,727473,139220,TIGER 200 건설
2025-02-17,3085,3085,3040,3050,327894,139220,TIGER 200 건설
2025-02-18,3080,3180,3050,3165,616748,139220,TIGER 200 건설
2025-02-19,3185,3185,3140,3145,420941,139220,TIGER 200 건설
2025-02-20,3145,3145,3060,3095,550646,139220,TIGER 200 건설
2025-02-21,3090,3105,3065,3070,201933,139220,TIGER 200 건설
2025-02-24,3050,3070,3020,3050,334167,139220,TIGER 200 건설
2025-02-25,3050,3105,3015,3045,427595,139220,TIGER 200 건설
2025-02-26,3050,3075,3030,3075,184191,139220,TIGER 200 건설
2025-02-27,3080,3095,3040,3045,177389,139220,TIGER 200 건설
2025-02-28,3010,3035,2895,2895,377543,139220,TIGER 200 건설
2025-03-04,2900,2950,2865,2930,156368,139220,TIGER 200 건설
2025-03-05,2930,3040,2930,3035,264566,139220,TIGER 200 건설
2025-03-06,3050,3080,3040,3060,261083,139220,TIGER 200 건설
2025-03-07,3050,3120,3030,3075,265811,139220,TIGER 200 건설
2025-03-10,3100,3100,3040,3075,143927,139220,TIGER 200 건설
2025-03-11,3025,3040,2995,3015,364833,139220,TIGER 200 건설
2025-03-12,3025,3055,3005,3015,621875,139220,TIGER 200 건설
2025-03-13,3055,3060,2995,3000,174487,139220,TIGER 200 건설
2025-03-14,3025,3032,2980,2990,136808,139220,TIGER 200 건설
2025-03-17,3005,3030,2900,3020,254570,139220,TIGER 200 건설
