날짜,시가,고가,저가,종가,거래량,티커,종목명
2024-03-20,5535,5630,5470,5475,362247,228810,TIGER 미디어컨텐츠
2024-03-27,5595,5974,5525,5869,599166,228810,TIGER 미디어컨텐츠
2024-04-03,5909,5924,5595,5700,408632,228810,TIGER 미디어컨텐츠
2024-04-10,5665,5665,5485,5495,200506,228810,TIGER 미디어컨텐츠
2024-04-17,5355,5365,5206,5266,221179,228810,TIGER 미디어컨텐츠
2024-04-24,5440,5515,5365,5465,342211,228810,TIGER 미디어컨텐츠
2024-05-01,5360,5415,5340,5370,199468,228810,TIGER 미디어컨텐츠
2024-05-08,5565,5595,5500,5530,190555,228810,TIGER 미디어컨텐츠
2024-05-15,5700,5700,5430,5490,465409,228810,TIGER 미디어컨텐츠
2024-05-22,5565,5565,5360,5380,276178,228810,TIGER 미디어컨텐츠
2024-05-29,5700,5790,5405,5410,428025,228810,TIGER 미디어컨텐츠
2024-06-05,5565,5565,5325,5345,448488,228810,TIGER 미디어컨텐츠
2024-06-12,5275,5365,5235,5255,285551,228810,TIGER 미디어컨텐츠
2024-06-19,5200,5200,5095,5150,347810,228810,TIGER 미디어컨텐츠
2024-06-26,5015,5070,4965,5035,246704,228810,TIGER 미디어컨텐츠
2024-07-03,5100,5145,4900,4935,248390,228810,TIGER 미디어컨텐츠
2024-07-10,4915,5035,4880,4965,253852,228810,TIGER 미디어컨텐츠
2024-07-17,5030,5065,4915,4930,194309,228810,TIGER 미디어컨텐츠
2024-07-24,4895,4915,4730,4740,188253,228810,TIGER 미디어컨텐츠
2024-07-31,4750,4785,4700,4760,141666,228810,TIGER 미디어컨텐츠
2024-08-07,4655,4655,4135,4520,422709,228810,TIGER 미디어컨텐츠
2024-08-14,4545,4590,4400,4420,194184,228810,TIGER 미디어컨텐츠
2024-08-21,4400,4545,4400,4515,191512,228810,TIGER 미디어컨텐츠
2024-08-28,4580,4580,4470,4475,93444,228810,TIGER 미디어컨텐츠
2024-09-04,4500,4500,4120,4165,297330,228810,TIGER 미디어컨텐츠
2024-09-11,4090,4190,4015,4140,109050,228810,TIGER 미디어컨텐츠
2024-09-25,4160,4340,4155,4300,253241,228810,TIGER 미디어컨텐츠
2024-10-02,4635,4640,4460,4515,241401,228810,TIGER 미디어컨텐츠
2024-10-09,4580,4620,4475,4590,175429,228810,TIGER 미디어컨텐츠
2024-10-16,4480,4640,4460,4535,197166,228810,TIGER 미디어컨텐츠
2024-10-23,4590,4740,4570,4715,511039,228810,TIGER 미디어컨텐츠
2024-10-30,4640,4800,4570,4800,250259,228810,TIGER 미디어컨텐츠
2024-11-06,4840,5305,4840,5170,774977,228810,TIGER 미디어컨텐츠
2024-11-13,5110,5110,4750,4920,617101,228810,TIGER 미디어컨텐츠
2024-11-20,5130,5400,5025,5355,584840,228810,TIGER 미디어컨텐츠
2024-11-27,5400,5680,5400,5650,1160353,228810,TIGER 미디어컨텐츠
2024-12-04,5530,5630,5310,5390,849806,228810,TIGER 미디어컨텐츠
2024-12-11,5030,5260,4805,5240,490517,228810,TIGER 미디어컨텐츠
2024-12-18,5645,5645,5470,5610,447337,228810,TIGER 미디어컨텐츠
2024-12-25,5395,5435,5185,5260,870460,228810,TIGER 미디어컨텐츠
2025-01-01,5090,5130,5010,5080,100681,228810,TIGER 미디어컨텐츠
2025-01-08,5085,5130,4935,4985,507609,228810,TIGER 미디어컨텐츠
2025-01-15,5020,5155,4975,5135,274735,228810,TIGER 미디어컨텐츠
2025-01-22,5210,5210,5000,5085,351867,228810,TIGER 미디어컨텐츠
2025-02-05,5000,5335,5000,5280,712512,228810,TIGER 미디어컨텐츠
2025-02-12,5435,5610,5420,5605,1633644,228810,TIGER 미디어컨텐츠
2025-02-19,5510,5630,5370,5630,1401905,228810,TIGER 미디어컨텐츠
2025-02-26,5840,6015,5785,5960,1810541,228810,TIGER 미디어컨텐츠
2025-03-05,5900,5950,5735,5820,1052874,228810,TIGER 미디어컨텐츠
2025-03-14,5690,5730,5400,5435,2068177,228810,TIGER 미디어컨텐츠
