날짜,시가,고가,저가,종가,거래량,티커,종목명
2024-02-14,10675,10945,10575,10925,213527,475310,SOL 반도체후공정
2024-02-15,11125,11140,10705,10780,167559,475310,SOL 반도체후공정
2024-02-16,10765,10820,10465,10515,144019,475310,SOL 반도체후공정
2024-02-19,10430,10550,10350,10430,123425,475310,SOL 반도체후공정
2024-02-20,10430,10495,10330,10385,136817,475310,SOL 반도체후공정
2024-02-21,10220,10375,10150,10200,140423,475310,SOL 반도체후공정
2024-02-22,10570,10610,10350,10550,142009,475310,SOL 반도체후공정
2024-02-23,10760,10815,10225,10310,117783,475310,SOL 반도체후공정
2024-02-26,10260,10785,10235,10405,141606,475310,SOL 반도체후공정
2024-02-27,10405,10530,10320,10395,115736,475310,SOL 반도체후공정
2024-02-28,10400,11000,10340,11000,179312,475310,SOL 반도체후공정
2024-02-29,10900,11095,10775,10900,160255,475310,SOL 반도체후공정
2024-03-04,11245,11710,11170,11650,163885,475310,SOL 반도체후공정
2024-03-05,11765,11845,11530,11695,127973,475310,SOL 반도체후공정
2024-03-06,11560,12075,11495,12075,168278,475310,SOL 반도체후공정
2024-03-07,12165,12365,11650,11770,128959,475310,SOL 반도체후공정
2024-03-08,12100,12395,12075,12185,132089,475310,SOL 반도체후공정
2024-03-11,11650,12215,11530,12105,209314,475310,SOL 반도체후공정
2024-03-12,12150,12375,12040,12235,107926,475310,SOL 반도체후공정
2024-03-13,12535,12535,11910,12090,166062,475310,SOL 반도체후공정
2024-03-14,11940,11970,11730,11900,136671,475310,SOL 반도체후공정
2024-03-15,11730,12130,11660,11895,111139,475310,SOL 반도체후공정
2024-03-18,11950,12205,11950,12175,98540,475310,SOL 반도체후공정
2024-03-19,12055,12115,11900,11970,95833,475310,SOL 반도체후공정
2024-03-20,12135,12210,11845,12060,109901,475310,SOL 반도체후공정
2024-03-21,12395,12395,12050,12075,177389,475310,SOL 반도체후공정
2024-03-22,12110,12225,11965,12050,70536,475310,SOL 반도체후공정
2024-03-25,12050,12290,12040,12045,96160,475310,SOL 반도체후공정
2024-03-26,12110,12870,12110,12650,206986,475310,SOL 반도체후공정
2024-03-27,12610,13215,12500,13205,159622,475310,SOL 반도체후공정
2024-03-28,13260,14255,13225,14080,361085,475310,SOL 반도체후공정
2024-03-29,14445,14445,13790,14075,217517,475310,SOL 반도체후공정
2024-04-01,14230,14740,14230,14440,302957,475310,SOL 반도체후공정
2024-04-02,14640,14800,14260,14500,289105,475310,SOL 반도체후공정
2024-04-03,14095,14580,13990,14460,199309,475310,SOL 반도체후공정
2024-04-04,14800,15220,14650,15000,341798,475310,SOL 반도체후공정
2024-04-05,14580,14880,14465,14830,227694,475310,SOL 반도체후공정
2024-04-08,15000,15000,14260,14320,174476,475310,SOL 반도체후공정
