날짜,시가,고가,저가,종가,거래량,티커,종목명
2024-12-17,7180,7180,7055,7055,2981,098560,TIGER 방송통신
2024-12-18,7100,7175,7100,7175,3112,098560,TIGER 방송통신
2024-12-19,7175,7175,7065,7065,4983,098560,TIGER 방송통신
2024-12-20,7080,7210,6995,7210,13167,098560,TIGER 방송통신
2024-12-23,7520,7565,7210,7550,36655,098560,TIGER 방송통신
2024-12-24,7585,7630,7465,7600,8091,098560,TIGER 방송통신
2024-12-26,7630,7630,7485,7530,24210,098560,TIGER 방송통신
2024-12-27,7530,7530,7320,7365,10139,098560,TIGER 방송통신
2024-12-30,7365,7365,7230,7230,3192,098560,TIGER 방송통신
2025-01-02,7230,7315,7215,7315,5124,098560,TIGER 방송통신
2025-01-03,7370,7380,7340,7350,2562,098560,TIGER 방송통신
2025-01-06,7425,7435,7340,7385,3452,098560,TIGER 방송통신
2025-01-07,7415,7415,7350,7390,2356,098560,TIGER 방송통신
2025-01-08,7420,7420,7315,7385,8573,098560,TIGER 방송통신
2025-01-09,7420,7420,7295,7335,5171,098560,TIGER 방송통신
2025-01-10,7380,7380,7245,7350,5724,098560,TIGER 방송통신
2025-01-13,7410,7410,7280,7325,5980,098560,TIGER 방송통신
2025-01-14,7420,7420,7315,7380,3548,098560,TIGER 방송통신
2025-01-15,7380,7410,7345,7410,5398,098560,TIGER 방송통신
2025-01-16,7410,7415,7350,7390,4272,098560,TIGER 방송통신
2025-01-17,7390,7410,7355,7385,8288,098560,TIGER 방송통신
2025-01-20,7385,7430,7330,7425,4900,098560,TIGER 방송통신
2025-01-21,7435,7435,7290,7335,7340,098560,TIGER 방송통신
2025-01-22,7310,7390,7225,7250,7136,098560,TIGER 방송통신
2025-01-23,7315,7315,7170,7195,3209,098560,TIGER 방송통신
2025-01-24,7245,7245,7150,7180,1721,098560,TIGER 방송통신
2025-01-31,7250,7250,7165,7175,3800,098560,TIGER 방송통신
2025-02-03,7250,7250,7095,7115,4060,098560,TIGER 방송통신
2025-02-04,7180,7250,7180,7250,5733,098560,TIGER 방송통신
2025-02-05,7300,7375,7165,7300,4258,098560,TIGER 방송통신
2025-02-06,7400,7400,7310,7310,5741,098560,TIGER 방송통신
2025-02-07,7380,7495,7265,7445,21917,098560,TIGER 방송통신
2025-02-10,7445,7525,7440,7495,6297,098560,TIGER 방송통신
2025-02-11,7495,7495,7445,7460,4214,098560,TIGER 방송통신
2025-02-12,7500,7500,7400,7455,3071,098560,TIGER 방송통신
2025-02-13,7470,7510,7440,7485,9653,098560,TIGER 방송통신
2025-02-14,7500,7575,7490,7540,4052,098560,TIGER 방송통신
2025-02-17,7600,7600,7520,7520,10698,098560,TIGER 방송통신
2025-02-18,7530,7550,7445,7450,14944,098560,TIGER 방송통신
2025-02-19,7485,7525,7450,7525,3848,098560,TIGER 방송통신
2025-02-20,7525,7630,7525,7590,31356,098560,TIGER 방송통신
2025-02-21,7665,7665,7520,7530,21834,098560,TIGER 방송통신
2025-02-24,7530,7575,7525,7525,6485,098560,TIGER 방송통신
2025-02-25,7525,7525,7485,7495,2798,098560,TIGER 방송통신
2025-02-26,7530,7530,7465,7480,4024,098560,TIGER 방송통신
2025-02-27,7540,7540,7425,7440,26926,098560,TIGER 방송통신
2025-02-28,7440,7500,7390,7390,41215,098560,TIGER 방송통신
2025-03-04,7405,7475,7405,7435,4959,098560,TIGER 방송통신
2025-03-05,7460,7475,7400,7410,2199,098560,TIGER 방송통신
2025-03-06,7445,7455,7425,7425,693,098560,TIGER 방송통신
2025-03-07,7440,7440,7365,7365,6864,098560,TIGER 방송통신
2025-03-10,7365,7380,7350,7350,393,098560,TIGER 방송통신
2025-03-11,7290,7340,7220,7320,1257,098560,TIGER 방송통신
2025-03-12,7350,7425,7350,7415,5294,098560,TIGER 방송통신
2025-03-13,7430,7460,7360,7360,2450,098560,TIGER 방송통신
2025-03-14,7395,7435,7380,7430,8403,098560,TIGER 방송통신
2025-03-17,7445,7480,7425,7435,4725,098560,TIGER 방송통신
2025-03-18,7480,7480,7420,7445,1926,098560,TIGER 방송통신
2025-03-19,7480,7495,7450,7480,2111,098560,TIGER 방송통신
2025-03-20,7500,7530,7430,7430,2581,098560,TIGER 방송통신
2025-03-21,7470,7470,7410,7410,19760,098560,TIGER 방송통신
