날짜,시가,고가,저가,종가,거래량,티커,종목명
2023-09-11,15639,16104,15277,15569,1075592,445290,KODEX K-로봇액티브
2023-09-12,15560,15673,14871,14960,661788,445290,KODEX K-로봇액티브
2023-09-13,14861,15010,14599,14653,406953,445290,KODEX K-로봇액티브
2023-09-14,14767,15049,14613,15034,289689,445290,KODEX K-로봇액티브
2023-09-15,15054,15094,14807,14891,231973,445290,KODEX K-로봇액티브
2023-09-18,14792,14921,14549,14599,189109,445290,KODEX K-로봇액티브
2023-09-19,14599,14613,14291,14331,839743,445290,KODEX K-로봇액티브
2023-09-20,14514,14549,14222,14351,190074,445290,KODEX K-로봇액티브
2023-09-21,14217,14252,13925,13950,130824,445290,KODEX K-로봇액티브
2023-09-22,13741,14286,13712,14118,975653,445290,KODEX K-로봇액티브
2023-09-25,14123,14237,13875,14024,140357,445290,KODEX K-로봇액티브
2023-09-26,14093,14168,13741,13821,142782,445290,KODEX K-로봇액티브
2023-09-27,13682,14138,13647,14133,166687,445290,KODEX K-로봇액티브
2023-10-04,14014,14014,13672,13707,154430,445290,KODEX K-로봇액티브
2023-10-05,13816,13821,13068,13132,310652,445290,KODEX K-로봇액티브
2023-10-06,13068,13261,13068,13182,94990,445290,KODEX K-로봇액티브
2023-10-10,13192,13330,12934,12959,112335,445290,KODEX K-로봇액티브
2023-10-11,13107,13246,13078,13097,96617,445290,KODEX K-로봇액티브
2023-10-12,13117,13454,13117,13390,190911,445290,KODEX K-로봇액티브
2023-10-13,13296,13400,13162,13266,107163,445290,KODEX K-로봇액티브
2023-10-16,13157,13157,12835,12988,117105,445290,KODEX K-로봇액티브
2023-10-17,13078,13276,13078,13206,105826,445290,KODEX K-로봇액티브
2023-10-18,13187,13296,13107,13192,70529,445290,KODEX K-로봇액티브
2023-10-19,12959,12984,12741,12741,172923,445290,KODEX K-로봇액티브
2023-10-20,12657,12657,12379,12458,174480,445290,KODEX K-로봇액티브
2023-10-23,12379,12543,12379,12379,61156,445290,KODEX K-로봇액티브
2023-10-24,12434,12627,12156,12627,102643,445290,KODEX K-로봇액티브
2023-10-25,12716,12716,12508,12548,86601,445290,KODEX K-로봇액티브
2023-10-26,12196,12359,12161,12216,797011,445290,KODEX K-로봇액티브
2023-10-27,12245,12354,12082,12216,108191,445290,KODEX K-로봇액티브
2023-10-30,12136,12548,12092,12463,120727,445290,KODEX K-로봇액티브
2023-10-31,12562,12617,12176,12265,99462,445290,KODEX K-로봇액티브
2023-11-01,12354,12582,12344,12483,127678,445290,KODEX K-로봇액티브
2023-11-02,12637,12805,12637,12785,96327,445290,KODEX K-로봇액티브
2023-11-03,12954,13127,12790,13122,144138,445290,KODEX K-로봇액티브
2023-11-06,13310,13637,13216,13637,306398,445290,KODEX K-로봇액티브
2023-11-07,13573,13613,13236,13429,246696,445290,KODEX K-로봇액티브
2023-11-08,13499,13603,13320,13375,105858,445290,KODEX K-로봇액티브
2023-11-09,13330,13415,13256,13355,58440,445290,KODEX K-로봇액티브
2023-11-10,13211,13211,13058,13097,82756,445290,KODEX K-로봇액티브
2023-11-13,13226,13286,12919,12959,1054916,445290,KODEX K-로봇액티브
2023-11-14,13018,13197,13018,13132,1074627,445290,KODEX K-로봇액티브
2023-11-15,13385,13682,13345,13672,238352,445290,KODEX K-로봇액티브
2023-11-16,13722,13865,13672,13796,250384,445290,KODEX K-로봇액티브
2023-11-17,13771,13771,13548,13583,142792,445290,KODEX K-로봇액티브
2023-11-20,13583,13870,13499,13831,149388,445290,KODEX K-로봇액티브
2023-11-21,13920,13930,13816,13875,155310,445290,KODEX K-로봇액티브
2023-11-22,13776,14054,13707,13955,902179,445290,KODEX K-로봇액티브
2023-11-23,14014,14172,13875,13900,1172336,445290,KODEX K-로봇액티브
2023-11-24,13984,14148,13940,14133,120978,445290,KODEX K-로봇액티브
2023-11-27,14202,14361,14153,14242,272378,445290,KODEX K-로봇액티브
2023-11-28,14257,14703,14237,14698,485802,445290,KODEX K-로봇액티브
2023-11-29,14762,15094,14514,14653,583106,445290,KODEX K-로봇액티브
2023-11-30,14767,14891,14663,14886,211399,445290,KODEX K-로봇액티브
2023-12-01,14871,14871,14574,14623,157831,445290,KODEX K-로봇액티브
2023-12-04,14554,14554,14286,14311,854467,445290,KODEX K-로봇액티브
2023-12-05,14237,14440,14103,14197,162262,445290,KODEX K-로봇액티브
2023-12-06,14168,14371,14004,14361,165059,445290,KODEX K-로봇액티브
2023-12-07,14247,14277,13999,14059,112903,445290,KODEX K-로봇액티브
2023-12-08,14217,14376,14143,14351,819734,445290,KODEX K-로봇액티브
2023-12-11,14445,14638,14445,14603,154494,445290,KODEX K-로봇액티브
2023-12-12,14603,14673,14554,14608,63605,445290,KODEX K-로봇액티브
2023-12-13,14539,14599,14465,14490,80919,445290,KODEX K-로봇액티브
2023-12-14,14703,14812,14623,14712,167771,445290,KODEX K-로봇액티브
2023-12-15,14807,14916,14688,14916,787531,445290,KODEX K-로봇액티브
2023-12-18,14955,15129,14777,15094,206710,445290,KODEX K-로봇액티브
2023-12-19,15134,15203,14881,15005,184135,445290,KODEX K-로봇액티브
2023-12-20,15089,15292,15064,15277,221311,445290,KODEX K-로봇액티브
2023-12-21,15134,15401,15099,15307,800399,445290,KODEX K-로봇액티브
2023-12-22,15371,15460,15183,15213,775201,445290,KODEX K-로봇액티브
2023-12-26,15238,15238,15000,15124,136628,445290,KODEX K-로봇액티브
2023-12-27,15158,15411,15054,15396,605798,445290,KODEX K-로봇액티브
2023-12-28,15401,15634,15327,15634,211561,445290,KODEX K-로봇액티브
2024-01-02,15624,15693,15520,15639,212691,445290,KODEX K-로봇액티브
2024-01-03,15480,15485,15198,15257,214658,445290,KODEX K-로봇액티브
2024-01-04,15138,15302,15064,15143,138557,445290,KODEX K-로봇액티브
2024-01-05,14940,15193,14911,15188,123004,445290,KODEX K-로봇액티브
2024-01-08,15208,15426,15183,15312,165405,445290,KODEX K-로봇액티브
2024-01-09,15456,15456,15243,15243,150022,445290,KODEX K-로봇액티브
2024-01-10,15243,15431,15183,15426,131263,445290,KODEX K-로봇액티브
2024-01-11,15426,15525,15292,15292,117494,445290,KODEX K-로봇액티브
2024-01-12,15272,15584,15272,15406,167064,445290,KODEX K-로봇액티브
2024-01-15,15421,15565,15322,15441,122268,445290,KODEX K-로봇액티브
2024-01-16,15406,15619,15233,15277,172322,445290,KODEX K-로봇액티브
2024-01-17,15267,15327,14752,14851,272176,445290,KODEX K-로봇액티브
2024-01-19,14970,15069,14866,14965,99722,445290,KODEX K-로봇액티브
2024-01-22,15099,15109,14876,15039,173909,445290,KODEX K-로봇액티브
