날짜,시가,고가,저가,종가,거래량,티커,종목명
2024-03-20,5193,5352,5168,5258,106632,364990,TIGER 게임TOP10
2024-03-27,5283,5676,5248,5616,467128,364990,TIGER 게임TOP10
2024-04-03,5397,5546,5292,5312,341088,364990,TIGER 게임TOP10
2024-04-10,5208,5253,5113,5138,96968,364990,TIGER 게임TOP10
2024-04-17,4929,4944,4819,4899,234337,364990,TIGER 게임TOP10
2024-04-24,4989,5058,4894,4949,346950,364990,TIGER 게임TOP10
2024-05-01,4855,5040,4855,4980,133448,364990,TIGER 게임TOP10
2024-05-08,5155,5310,5155,5270,452216,364990,TIGER 게임TOP10
2024-05-15,5640,5715,5540,5600,666807,364990,TIGER 게임TOP10
2024-05-22,5695,5695,5535,5585,349017,364990,TIGER 게임TOP10
2024-05-29,5650,5710,5315,5380,689038,364990,TIGER 게임TOP10
2024-06-05,5305,5400,5265,5315,142627,364990,TIGER 게임TOP10
2024-06-12,5275,5315,5160,5230,195506,364990,TIGER 게임TOP10
2024-06-19,5250,5415,5230,5360,859896,364990,TIGER 게임TOP10
2024-06-26,5435,5480,5220,5380,667697,364990,TIGER 게임TOP10
2024-07-03,5265,5350,5190,5290,116971,364990,TIGER 게임TOP10
2024-07-10,5320,5545,5315,5510,318003,364990,TIGER 게임TOP10
2024-07-17,5580,5600,5410,5475,238669,364990,TIGER 게임TOP10
2024-07-24,5495,5610,5335,5470,220121,364990,TIGER 게임TOP10
2024-07-31,5485,5575,5440,5500,83906,364990,TIGER 게임TOP10
2024-08-07,5445,5465,5015,5410,272090,364990,TIGER 게임TOP10
2024-08-14,5480,5755,5430,5750,556181,364990,TIGER 게임TOP10
2024-08-21,5560,5705,5480,5690,663433,364990,TIGER 게임TOP10
2024-08-28,5745,5830,5590,5625,248787,364990,TIGER 게임TOP10
2024-09-04,5585,5585,5255,5285,182269,364990,TIGER 게임TOP10
2024-09-11,5295,5415,5255,5350,219738,364990,TIGER 게임TOP10
2024-09-25,5530,5760,5445,5645,191868,364990,TIGER 게임TOP10
2024-10-02,5695,5745,5555,5590,125389,364990,TIGER 게임TOP10
2024-10-09,5755,5890,5700,5835,201511,364990,TIGER 게임TOP10
2024-10-16,5600,5630,5535,5570,171617,364990,TIGER 게임TOP10
2024-10-23,5520,5710,5480,5635,113611,364990,TIGER 게임TOP10
2024-10-30,5725,5825,5660,5790,257796,364990,TIGER 게임TOP10
2024-11-06,5740,5990,5710,5880,366134,364990,TIGER 게임TOP10
2024-11-13,5575,5575,5135,5140,423251,364990,TIGER 게임TOP10
2024-11-20,5095,5400,5090,5375,236964,364990,TIGER 게임TOP10
2024-11-27,5375,5590,5360,5575,328276,364990,TIGER 게임TOP10
2024-12-04,5800,6000,5745,5925,788430,364990,TIGER 게임TOP10
2024-12-11,5400,5480,5210,5480,318606,364990,TIGER 게임TOP10
2024-12-18,5760,5760,5480,5605,1163486,364990,TIGER 게임TOP10
2024-12-25,5375,5440,5320,5380,178337,364990,TIGER 게임TOP10
2025-01-01,5240,5290,5180,5190,68185,364990,TIGER 게임TOP10
2025-01-08,5305,5485,5300,5335,227979,364990,TIGER 게임TOP10
2025-01-15,5295,5335,5155,5185,503271,364990,TIGER 게임TOP10
2025-01-22,5220,5240,5090,5115,2221126,364990,TIGER 게임TOP10
2025-02-05,5065,5240,4955,5235,624200,364990,TIGER 게임TOP10
2025-02-12,5235,5450,5085,5140,2142523,364990,TIGER 게임TOP10
2025-02-19,5080,5210,5020,5190,1055304,364990,TIGER 게임TOP10
2025-02-26,5145,5215,5055,5215,758566,364990,TIGER 게임TOP10
2025-03-05,4975,4975,4860,4890,276770,364990,TIGER 게임TOP10
2025-03-14,4930,4990,4760,4905,1591338,364990,TIGER 게임TOP10
