날짜,시가,고가,저가,종가,거래량,티커,종목명
2024-10-31,31840,32840,31820,32340,274848,091160,KODEX 반도체
2024-11-01,32025,32355,31950,32005,203683,091160,KODEX 반도체
2024-11-04,32200,32820,32015,32820,275318,091160,KODEX 반도체
2024-11-06,32910,33050,31930,32160,329454,091160,KODEX 반도체
2024-11-07,32160,32245,31700,32105,316643,091160,KODEX 반도체
2024-11-08,32450,32805,32095,32175,271208,091160,KODEX 반도체
2024-11-11,31810,31890,30680,30680,583741,091160,KODEX 반도체
2024-11-12,30365,30435,29475,29510,636197,091160,KODEX 반도체
2024-11-13,29295,29705,28725,28725,519506,091160,KODEX 반도체
2024-11-14,28735,28990,27940,28015,487648,091160,KODEX 반도체
2024-11-15,27965,29130,27940,29010,634385,091160,KODEX 반도체
2024-11-18,29200,29460,28415,28600,482623,091160,KODEX 반도체
2024-11-19,28505,28650,28315,28535,264562,091160,KODEX 반도체
2024-11-20,28790,28790,28240,28455,335646,091160,KODEX 반도체
2024-11-21,28295,28770,28260,28485,269555,091160,KODEX 반도체
2024-11-22,28610,29235,28595,28970,407079,091160,KODEX 반도체
2024-11-25,29015,29550,29015,29455,400330,091160,KODEX 반도체
2024-11-26,29355,29620,29200,29385,534467,091160,KODEX 반도체
2024-11-27,29230,29230,28200,28290,610628,091160,KODEX 반도체
2024-11-28,28100,28175,27780,27835,506288,091160,KODEX 반도체
2024-11-29,27775,27775,27105,27330,472397,091160,KODEX 반도체
2024-12-02,27550,27580,26840,26865,511893,091160,KODEX 반도체
2024-12-03,26750,27520,26750,27450,481154,091160,KODEX 반도체
2024-12-04,26825,27500,26800,27345,627594,091160,KODEX 반도체
2024-12-05,27550,28365,27545,28065,601794,091160,KODEX 반도체
2024-12-06,28075,28085,26925,27560,868641,091160,KODEX 반도체
2024-12-09,27080,27315,26695,26695,682073,091160,KODEX 반도체
2024-12-10,26920,27265,26920,27145,444711,091160,KODEX 반도체
2024-12-11,26970,27865,26955,27865,739057,091160,KODEX 반도체
2024-12-12,28310,28905,28110,28750,585917,091160,KODEX 반도체
2024-12-13,28595,28965,28520,28795,336027,091160,KODEX 반도체
2024-12-16,29100,29300,28900,29070,342312,091160,KODEX 반도체
2024-12-17,29340,29680,29310,29565,696049,091160,KODEX 반도체
2024-12-18,29410,29915,29395,29860,520244,091160,KODEX 반도체
2024-12-19,28745,29100,28670,28925,389304,091160,KODEX 반도체
2024-12-20,28925,28925,27930,28145,390074,091160,KODEX 반도체
2024-12-23,28445,29210,28310,28930,379901,091160,KODEX 반도체
2024-12-24,29215,29285,28890,28945,309066,091160,KODEX 반도체
2024-12-26,29160,29220,28570,28630,308552,091160,KODEX 반도체
2024-12-27,28575,29365,28575,28925,561451,091160,KODEX 반도체
2024-12-30,28705,29055,28560,28935,242542,091160,KODEX 반도체
2025-01-02,28625,29175,28425,29110,396535,091160,KODEX 반도체
2025-01-03,29200,30735,29200,30500,957144,091160,KODEX 반도체
2025-01-06,30980,32220,30975,32100,1315776,091160,KODEX 반도체
2025-01-07,32760,32855,31700,31715,922269,091160,KODEX 반도체
2025-01-08,31290,32905,31205,32835,1057786,091160,KODEX 반도체
2025-01-09,33085,33330,32920,33015,1304398,091160,KODEX 반도체
2025-01-10,33135,33510,32745,32820,868066,091160,KODEX 반도체
2025-01-13,32415,32600,31740,31775,590421,091160,KODEX 반도체
2025-01-14,31950,32085,31600,31925,536241,091160,KODEX 반도체
2025-01-15,32070,32540,32000,32050,600578,091160,KODEX 반도체
