날짜,시가,고가,저가,종가,거래량,티커,종목명
2024-12-17,10800,10850,10655,10770,38614,438900,HANARO Fn K-푸드
2024-12-18,10770,10870,10725,10815,19678,438900,HANARO Fn K-푸드
2024-12-19,10660,11075,10630,10950,73622,438900,HANARO Fn K-푸드
2024-12-20,10950,10960,10665,10770,30265,438900,HANARO Fn K-푸드
2024-12-23,10800,10910,10700,10880,24797,438900,HANARO Fn K-푸드
2024-12-24,10880,10955,10845,10950,20919,438900,HANARO Fn K-푸드
2024-12-26,10960,11005,10775,10775,26347,438900,HANARO Fn K-푸드
2024-12-27,10775,10805,10655,10715,23790,438900,HANARO Fn K-푸드
2024-12-30,10715,10740,10630,10705,16475,438900,HANARO Fn K-푸드
2025-01-02,10725,10770,10535,10565,29208,438900,HANARO Fn K-푸드
2025-01-03,10535,10665,10535,10620,12733,438900,HANARO Fn K-푸드
2025-01-06,10625,10625,10525,10585,15286,438900,HANARO Fn K-푸드
2025-01-07,10585,10600,10505,10505,34301,438900,HANARO Fn K-푸드
2025-01-08,10440,10545,10415,10430,54188,438900,HANARO Fn K-푸드
2025-01-09,10430,10515,10380,10505,31519,438900,HANARO Fn K-푸드
2025-01-10,10505,10505,10355,10490,17112,438900,HANARO Fn K-푸드
2025-01-13,10465,10500,10360,10375,17235,438900,HANARO Fn K-푸드
2025-01-14,10385,10400,10280,10300,15221,438900,HANARO Fn K-푸드
2025-01-15,10290,10345,10205,10235,25054,438900,HANARO Fn K-푸드
2025-01-16,10285,10300,10225,10285,23669,438900,HANARO Fn K-푸드
2025-01-17,10285,10390,10280,10295,39231,438900,HANARO Fn K-푸드
2025-01-20,10325,10365,10245,10260,25424,438900,HANARO Fn K-푸드
2025-01-21,10315,10335,10135,10240,18099,438900,HANARO Fn K-푸드
2025-01-22,10270,10270,10125,10145,21646,438900,HANARO Fn K-푸드
2025-01-23,10160,10160,9960,10020,20202,438900,HANARO Fn K-푸드
2025-01-24,10035,10070,9990,10060,11538,438900,HANARO Fn K-푸드
2025-01-31,10060,10140,10000,10045,12079,438900,HANARO Fn K-푸드
2025-02-03,9930,10075,9900,10060,28632,438900,HANARO Fn K-푸드
2025-02-04,10060,10135,10050,10115,27219,438900,HANARO Fn K-푸드
2025-02-05,10200,10325,10195,10235,46841,438900,HANARO Fn K-푸드
2025-02-06,10275,10690,10275,10620,89977,438900,HANARO Fn K-푸드
2025-02-07,10615,10620,10505,10515,30101,438900,HANARO Fn K-푸드
2025-02-10,10510,10650,10470,10580,22454,438900,HANARO Fn K-푸드
2025-02-11,10565,10590,10455,10570,42098,438900,HANARO Fn K-푸드
2025-02-12,10590,10730,10585,10675,43326,438900,HANARO Fn K-푸드
2025-02-13,10690,10695,10530,10600,26610,438900,HANARO Fn K-푸드
2025-02-14,10600,10910,10600,10875,132713,438900,HANARO Fn K-푸드
2025-02-17,10890,11010,10890,10940,111534,438900,HANARO Fn K-푸드
2025-02-18,10940,10960,10810,10855,39967,438900,HANARO Fn K-푸드
2025-02-19,10855,11020,10855,10950,101029,438900,HANARO Fn K-푸드
2025-02-20,10950,11030,10940,11010,39375,438900,HANARO Fn K-푸드
2025-02-21,11040,11115,10955,11085,42573,438900,HANARO Fn K-푸드
2025-02-24,11050,11195,10995,11150,57235,438900,HANARO Fn K-푸드
2025-02-25,11045,11120,10985,11015,28672,438900,HANARO Fn K-푸드
2025-02-26,11030,11065,10935,11010,24682,438900,HANARO Fn K-푸드
2025-02-27,11045,11090,10990,11090,32101,438900,HANARO Fn K-푸드
2025-02-28,11020,11020,10805,10805,43809,438900,HANARO Fn K-푸드
2025-03-04,10855,11005,10815,10925,41604,438900,HANARO Fn K-푸드
2025-03-05,10925,11150,10925,11100,45134,438900,HANARO Fn K-푸드
2025-03-06,11100,11490,11050,11475,87264,438900,HANARO Fn K-푸드
2025-03-07,11475,11690,11420,11475,82103,438900,HANARO Fn K-푸드
2025-03-10,11455,11525,11370,11415,77223,438900,HANARO Fn K-푸드
2025-03-11,11220,11475,11220,11340,66536,438900,HANARO Fn K-푸드
2025-03-12,11340,11465,11340,11370,45578,438900,HANARO Fn K-푸드
2025-03-13,11455,11455,11270,11305,51678,438900,HANARO Fn K-푸드
2025-03-14,11355,11450,11295,11450,48439,438900,HANARO Fn K-푸드
2025-03-17,11510,11565,11395,11555,61065,438900,HANARO Fn K-푸드
2025-03-18,11620,11670,11570,11635,42714,438900,HANARO Fn K-푸드
2025-03-19,11700,12060,11670,11850,276041,438900,HANARO Fn K-푸드
2025-03-20,11965,12125,11865,11900,126385,438900,HANARO Fn K-푸드
2025-03-21,11900,12085,11795,12085,97705,438900,HANARO Fn K-푸드
