날짜,시가,고가,저가,종가,거래량,티커,종목명
2023-09-11,4230,4230,4181,4186,89047,140710,KODEX 운송
2023-09-12,4205,4240,4156,4171,135307,140710,KODEX 운송
2023-09-13,4151,4176,4127,4142,13415,140710,KODEX 운송
2023-09-14,4166,4313,4156,4313,7919,140710,KODEX 운송
2023-09-15,4303,4303,4220,4274,42070,140710,KODEX 운송
2023-09-18,4245,4274,4220,4250,184407,140710,KODEX 운송
2023-09-19,4259,4259,4220,4240,15770,140710,KODEX 운송
2023-09-20,4240,4333,4240,4308,29902,140710,KODEX 운송
2023-09-21,4279,4313,4264,4264,12838,140710,KODEX 운송
2023-09-22,4225,4240,4161,4215,17581,140710,KODEX 운송
2023-09-25,4215,4245,4205,4235,3308,140710,KODEX 운송
2023-09-26,4230,4230,4176,4196,7741,140710,KODEX 운송
2023-09-27,4171,4230,4156,4215,8053,140710,KODEX 운송
2023-10-04,4176,4176,4058,4088,36250,140710,KODEX 운송
2023-10-05,4127,4127,4083,4112,18433,140710,KODEX 운송
2023-10-06,4132,4132,4083,4107,72717,140710,KODEX 운송
2023-10-10,4088,4098,4000,4019,9090,140710,KODEX 운송
2023-10-11,4044,4078,4019,4019,8560,140710,KODEX 운송
2023-10-12,4058,4058,3975,4014,10371,140710,KODEX 운송
2023-10-13,3980,3980,3921,3931,74740,140710,KODEX 운송
2023-10-16,3926,3931,3852,3887,31466,140710,KODEX 운송
2023-10-17,3926,3926,3892,3892,22892,140710,KODEX 운송
2023-10-18,3892,4029,3892,4004,53505,140710,KODEX 운송
2023-10-19,3975,4009,3931,3970,59310,140710,KODEX 운송
2023-10-20,3955,3955,3838,3852,21451,140710,KODEX 운송
2023-10-23,3857,3882,3813,3857,14605,140710,KODEX 운송
2023-10-24,3867,3887,3769,3882,8214,140710,KODEX 운송
2023-10-25,3882,3950,3882,3936,15449,140710,KODEX 운송
2023-10-26,3906,3906,3843,3848,32093,140710,KODEX 운송
2023-10-27,3887,3921,3867,3901,3098,140710,KODEX 운송
2023-10-30,3862,3980,3862,3906,14697,140710,KODEX 운송
2023-10-31,3931,3985,3926,3960,7871,140710,KODEX 운송
2023-11-01,3960,3985,3931,3970,57532,140710,KODEX 운송
2023-11-02,3970,4004,3916,3941,2510,140710,KODEX 운송
2023-11-03,3955,3965,3906,3955,6310,140710,KODEX 운송
2023-11-06,3990,4112,3990,4112,17844,140710,KODEX 운송
2023-11-07,4122,4137,4019,4098,14006,140710,KODEX 운송
2023-11-08,4137,4156,4102,4102,473453,140710,KODEX 운송
2023-11-09,4112,4196,4112,4196,88563,140710,KODEX 운송
2023-11-10,4132,4156,4112,4147,11712,140710,KODEX 운송
2023-11-13,4166,4166,4112,4127,2357,140710,KODEX 운송
2023-11-14,4147,4186,4093,4117,22333,140710,KODEX 운송
2023-11-15,4166,4205,4142,4196,10505,140710,KODEX 운송
2023-11-16,4181,4225,4171,4196,7068,140710,KODEX 운송
2023-11-17,4196,4289,4196,4284,77097,140710,KODEX 운송
2023-11-20,4299,4333,4230,4303,12956,140710,KODEX 운송
2023-11-21,4308,4357,4308,4348,26473,140710,KODEX 운송
2023-11-22,4289,4362,4289,4333,15130,140710,KODEX 운송
2023-11-23,4352,4377,4333,4377,13935,140710,KODEX 운송
2023-11-24,4382,4382,4299,4313,13324,140710,KODEX 운송
2023-11-27,4313,4323,4269,4318,17944,140710,KODEX 운송
2023-11-28,4323,4357,4313,4343,83008,140710,KODEX 운송
2023-11-29,4343,4348,4284,4328,9827,140710,KODEX 운송
2023-11-30,4328,4377,4274,4348,16843,140710,KODEX 운송
2023-12-01,4352,4431,4352,4382,718014,140710,KODEX 운송
2023-12-04,4416,4509,4411,4470,37201,140710,KODEX 운송
2023-12-05,4470,4470,4387,4397,9766,140710,KODEX 운송
2023-12-06,4406,4441,4372,4392,6639,140710,KODEX 운송
2023-12-07,4372,4436,4367,4401,10507,140710,KODEX 운송
2023-12-08,4382,4421,4382,4416,32287,140710,KODEX 운송
2023-12-11,4397,4431,4392,4421,6461,140710,KODEX 운송
2023-12-12,4426,4534,4426,4514,20981,140710,KODEX 운송
2023-12-13,4514,4534,4465,4500,16209,140710,KODEX 운송
2023-12-14,4524,4558,4509,4553,30411,140710,KODEX 운송
2023-12-15,4553,4588,4524,4558,38822,140710,KODEX 운송
2023-12-18,4598,4696,4534,4637,46541,140710,KODEX 운송
2023-12-19,4607,4740,4607,4696,75614,140710,KODEX 운송
2023-12-20,4720,5127,4696,5029,479036,140710,KODEX 운송
2023-12-21,5039,5039,4838,4882,101257,140710,KODEX 운송
2023-12-22,4887,5019,4813,4990,78309,140710,KODEX 운송
2023-12-26,4990,4990,4877,4892,36957,140710,KODEX 운송
2023-12-27,4877,4990,4862,4926,17869,140710,KODEX 운송
2023-12-28,4926,5039,4926,5034,32469,140710,KODEX 운송
2024-01-02,5024,5176,5024,5151,774208,140710,KODEX 운송
